가게명,가게주소,평균 단가
란주탕슉,서울 서대문구 대현동 53-20,10800
유즈라멘 만리동점,서울 중구 만리동1가 53-8,12800
서울부띠끄,서울 중구 만리동1가 62-1,17860
오르랔베이커리,서울 서대문구 북아현동 220-36,4660
대박집,충북 옥천군 옥천읍 죽향리 214,7600
아현닭발,서울 서대문구 북아현동 221-14,17000
밀리네해물탕 애오개역점,서울 마포구 아현동 733,38600
은성순대국,서울 마포구 아현동 346-22,14666
서울우진갈비,서울 중구 중림동 200,23000
아건 이대점,서울 서대문구 대현동 56-76,11400
가미분식,서울 서대문구 대현동 54-1,7200
마더린러베이글,서울 서대문구 대현동 56-23,12860
호남보신탕,서울 서대문구 북아현동 125-25,72400
두툼,서울 중구 중림동 200,16250
대가설렁탕,서울 마포구 아현동 331-6,18600
밀밭정원,서울 마포구 아현동 422,정보 없음
파네트,서울 마포구 공덕동 232-9,4782
철길떡볶이,서울 서대문구 충정로3가 143-2,2800
오공일,서울 중구 중림동 401-4,21600
중림장,서울 중구 중림동 468,25200
연어초밥,광주 서구 치평동 1223,17340
북성해장국,서울 서대문구 북아현동 154-1,10500
호수집 원조닭꼬치,서울 중구 중림동 61-4,22940
공일부엌,서울 중구 만리동1가 62-27,20250
테라스,서울 서대문구 북아현동 135-9,10200
파파브레드,서울 서대문구 북아현동 134-3,정보 없음
마포대도소곱창,서울 중구 중림동 400-6,42600
이요이요스시 공덕1호점,서울 마포구 공덕동 469,56250
아현동간장게장,서울 마포구 아현동 282-1,11000
미스터서왕만두,서울 서대문구 대현동 27-20,7640
e문어세상 충정로직영점,서울 중구 중림동 400-7,61000
편백집 아현점,서울 마포구 아현동 330-4,10800
황금콩밭,서울 마포구 아현동 424-11,21000
곱창파는고깃집,서울 마포구 아현동 618-19,20560
만리재비스트로,서울 중구 만리동1가 62-11,17000
마포분식,서울 마포구 아현동 332-21,3300
진미식당,서울 마포구 공덕동 105-127,42500
원조봉순게장,서울 서대문구 충정로3가 480,15800
고릴라,서울 서대문구 충정로3가 272,17250
서울호떡 아현점,서울 마포구 아현동 332-6,2625
밀리네 해물탕,서울 마포구 염리동 9-120,39200
원조신촌설렁탕,서울 마포구 공덕동 119-45,16800
옐로우보울,서울 서대문구 충정로3가 476,55000
가야가야 이대점,서울 서대문구 대현동 56-21,10100
국민회관,서울 중구 만리동1가 34,12780
