가게명,가게주소,평균 단가
굴다리식당,서울 마포구 도화동 181-45,10333
마포청학동부침개,서울 마포구 공덕동 256-30,13400
밀리네해물탕 애오개역점,서울 마포구 아현동 733,38600
홍박아구찜 본점,서울 마포구 공덕동 384-29,67000
황톳길,대전 대덕구 장동 365,20600
공덕닭발왕,서울 마포구 신공덕동 9-14,18000
영광보쌈,서울 마포구 공덕동 256-20,26000
아소정,서울 마포구 염리동 149-9,11800
뚜띠쿠치나 공덕점,서울 마포구 공덕동 249-36,22500
역전회관,서울 마포구 염리동 173-21,16200
밀밭정원,서울 마포구 아현동 422,정보 없음
마포오향족발,서울 마포구 공덕동 256-10,35200
파네트,서울 마포구 공덕동 232-9,4782
조개꽃천지 마포공덕점,서울 마포구 공덕동 249-16,정보 없음
동신참치 공덕점,서울 마포구 공덕동 462,18600
서리원,서울 마포구 공덕동 463,38000
을밀대 본점,서울 마포구 염리동 147-6,38400
신성각,서울 마포구 신공덕동 2-463,8500
참나무본가 공덕점,서울 마포구 공덕동 256-42,26800
용마루굴다리껍데기,서울 마포구 공덕동 22-13,9200
북성해장국,서울 서대문구 북아현동 154-1,10500
마포왕족발,서울 마포구 공덕동 256-10,41800
두껍삼 마포직영점,서울 마포구 도화동 553,83600
이요이요스시 공덕1호점,서울 마포구 공덕동 469,56250
봉평옹심이메밀칼국수,서울 마포구 공덕동 242-90,9600
아현동간장게장,서울 마포구 아현동 282-1,11000
애슐리퀸즈 공덕점,서울 마포구 공덕동 252-5,24566
황금콩밭,서울 마포구 아현동 424-11,21000
락희옥 마포본점,서울 마포구 공덕동 478,38800
마포소문난원조족발,서울 마포구 공덕동 256-11,36000
곱창파는고깃집,서울 마포구 아현동 618-19,20560
37.5익스프레스 마포공덕점,서울 마포구 공덕동 175-139,13800
마포진짜원조최대포 본점,서울 마포구 공덕동 255-5,14600
진대감 마포점,서울 마포구 공덕동 249-62,41000
진미식당,서울 마포구 공덕동 105-127,42500
원조마포껍데기집,서울 마포구 공덕동 115-122,14400
그레이스국밥,서울 마포구 공덕동 242-3,18400
버거킹 공덕역점,서울 마포구 공덕동 252-5,정보 없음
탑클라우드23,서울 마포구 공덕동 471,정보 없음
만리삼구보쌈족발,서울 용산구 서계동 260-1,36600
몽중헌 공덕점,서울 마포구 도화동 25-13,16400
원조신촌설렁탕,서울 마포구 공덕동 119-45,16800
롯데시티호텔마포 나루,서울 마포구 공덕동 467,67100
마포양지설렁탕,서울 마포구 도화동 181-39,14800
명인등심 마포공덕 직영점,서울 마포구 공덕동 252-5,26200
