가게명,가게주소,평균 단가
일미락 상암점,서울 마포구 상암동 1493,21200
김영섭초밥,서울 마포구 상암동 42-20,39980
아리산채,서울 은평구 증산동 223-28,11200
서노스시,서울 마포구 성산동 278-22,10200
아고야,서울 마포구 상암동 42-18,13500
월화고기 상암직영 1호점,서울 마포구 상암동 8-3,18400
강순자옛맛김치찌개 마포구청점,서울 마포구 성산동 591-6,7700
옥자회관,서울 마포구 상암동 2-29,15400
만나식당,서울 마포구 성산동 260-14,13800
몽미,서울 마포구 상암동 2-98,17800
미스사이공 상암DMC점,서울 마포구 상암동 1525,4940
홍반장신의주찹쌀순대&감자탕,서울 마포구 성산동 592-1,19200
파스타공작소,서울 마포구 상암동 2-200,18800
일포베트남쌀국수,서울 마포구 상암동 1474,8000
당가원,서울 마포구 성산동 200-38,8100
다이닝원 상암점,서울 마포구 상암동 1615,20720
물고기자리,경기 용인시 수지구 풍덕천동 703,40000
서룡,서울 마포구 상암동 1653,48400
마음심,서울 마포구 상암동 32-14,10600
옥소반 상암점,서울 마포구 상암동 1615,10760
노브랜드버거 메가박스상암점,서울 마포구 성산동 515-25,정보 없음
푸차이,서울 마포구 상암동 1622,14600
김경자대구왕뽈찜 상암점,서울 마포구 성산동 533-1,39000
덕승재 상암동본점,서울 마포구 상암동 1653,43360
도시의어부 상암점,서울 마포구 상암동 35-7,정보 없음
구리돌곱창,경기 구리시 교문동 216-7,31200
장어세상,서울 동대문구 장안동 432-3,33600
한상가득왕솥뚜껑 상암본점,서울 마포구 상암동 1520,17400
마야콩짜장,서울 마포구 성산동 152-1,18000
성산왕갈비,서울 마포구 성산동 446,35000
스시린,서울 마포구 성산동 590-5,33600
도야지,서울 마포구 성산동 590-4,20000
군산찜,서울 마포구 성산동 200-316,34600
청춘소고기,서울 마포구 상암동 15-16,17400
무한리필808,서울 마포구 상암동 41-10,29000
두끼떡볶이 홈플러스상암월드컵점,서울 마포구 성산동 529-16,8900
홈플러스 월드컵점 푸드코트,서울 마포구 성산동 527-16,9180
상암해물,서울 마포구 상암동 1497,정보 없음
대박포차,서울 용산구 한강로1가 231-9,17000
초한초마,서울 마포구 망원동 471-27,7800
일등식당,서울 마포구 망원동 476-1,5600
목포낙지마을,서울 마포구 성산동 278-41,14200
상암구름산추어탕,서울 마포구 상암동 1490,13400
교대이층집 상암점,서울 마포구 상암동 15-29,20400
대동관,서울 마포구 성산동 138-4,25800
