가게명,가게주소,평균 단가
꼬숑돈까스,서울 서대문구 창천동 31-26,4000
란주탕슉,서울 서대문구 대현동 53-20,10800
벽제갈비 신촌점,서울 서대문구 창천동 13-20,21800
유야케도쿄,서울 서대문구 대현동 37-30,11166
고냉지,서울 서대문구 대현동 110-15,15750
고삼이 신촌점,서울 서대문구 창천동 53-8,11800
비밀,서울 서대문구 대현동 27-46,3840
아건 이대점,서울 서대문구 대현동 56-76,11400
가미분식,서울 서대문구 대현동 54-1,7200
마더린러베이글,서울 서대문구 대현동 56-23,12860
미도인 신촌,서울 서대문구 창천동 45-12,9820
영미김밥,서울 서대문구 대현동 110-7,4333
신촌수제비,서울 서대문구 창천동 30-10,3500
대현매운족발 본점,서울 서대문구 대현동 104-25,28600
너스레,서울 서대문구 대현동 90-3,14200
을밀대 본점,서울 마포구 염리동 147-6,38400
정육면체,서울 서대문구 창천동 62-18,12300
연어초밥,광주 서구 치평동 1223,17340
신촌형제갈비,서울 서대문구 창천동 31-26,32500
춘천집닭갈비막국수,서울 서대문구 창천동 57-8,12300
엠브로돈까스 신촌점,서울 서대문구 창천동 13-16,8460
라구식당,서울 서대문구 창천동 2-44,9750
복성각,서울 서대문구 창천동 31-8,8000
이빠네마그릴,서울 서대문구 창천동 18-11,39900
소신이쏘,서울 서대문구 창천동 57-39,14166
웅네서서갈비,서울 서대문구 대현동 110-25,11200
미스터서왕만두,서울 서대문구 대현동 27-20,7640
디델리 이대점,서울 서대문구 대현동 56-68,7100
완차이,서울 서대문구 창천동 5-35,26900
방콕익스프레스 신촌본점,서울 서대문구 대현동 104-25,10900
천진분식,서울 서대문구 대현동 56-24,6100
현명식탁,서울 서대문구 창천동 13-2,19400
신촌황소곱창 신촌본점,서울 서대문구 창천동 52-148,19000
부엉이돈가스 신촌점,서울 서대문구 창천동 5-70,11940
공릉닭한마리,서울 서대문구 대현동 104-69,30000
아웃백스테이크하우스 신촌점,서울 서대문구 창천동 2-6,79900
아민 이화,서울 서대문구 대현동 34-23,15500
제주도로담,서울 서대문구 대현동 104-18,32000
밀리네 해물탕,서울 마포구 염리동 9-120,39200
효동각 본점,서울 서대문구 대신동 50-2,9000
유닭스토리 닭한마리 신촌점,서울 서대문구 창천동 18-72,16000
대전해장국전문,서울 마포구 노고산동 19-39,12000
가야가야 이대점,서울 서대문구 대현동 56-21,10100
신촌서서갈비,서울 마포구 노고산동 107-29,17000
삭,서울 서대문구 대현동 56-33,2080
