가게명,가게주소,평균 단가
담택,서울 마포구 서교동 481-15,10700
대포막창,서울 마포구 서교동 396-58,14400
이치류 홍대본점,서울 마포구 서교동 395-124,24500
평이담백뼈칼국수,서울 마포구 서교동 481-5,9500
망원동 즉석우동 전문돈까스 본점,서울 마포구 망원동 386-4,8000
칸다소바 홍대점,서울 마포구 상수동 91-3,9300
카와카츠 본점,서울 마포구 서교동 465-1,14800
우동카덴 합정점,서울 마포구 서교동 391-5,9600
각시보쌈,서울 마포구 합정동 372-27,21600
델리인디아,서울 마포구 서교동 402-6,15380
빠넬로,서울 마포구 서교동 400-22,32000
스케줄 합정,서울 마포구 서교동 394-17,35200
또보겠지떡볶이집 호호피크닉점,서울 마포구 서교동 396-45,11500
합정광안리,서울 마포구 서교동 396-44,44000
개화기요정,서울 마포구 서교동 401-5,24400
교다이야,서울 마포구 합정동 370-8,10400
진진,서울 마포구 서교동 375-35,31750
헤키,서울 마포구 망원동 379-25,10400
합정옥,서울 마포구 합정동 392-3,23750
산더미불고기,서울 마포구 서교동 403-16,12600
홍대 조선시대,서울 마포구 서교동 369-4,25200
스파카나폴리,서울 마포구 합정동 413-2,27500
시오,서울 마포구 합정동 372-17,16400
최강금돈까스,서울 마포구 합정동 388-15,14000
카미야,서울 마포구 서교동 358-39,10000
강강술래 홍대점,서울 마포구 서교동 369-10,34560
양화정숯불갈비,서울 마포구 합정동 383-26,24600
몰토베네,서울 마포구 합정동 361-20,29400
우와 홍대본점,서울 마포구 서교동 364-10,15700
공감 합정점,서울 마포구 서교동 396-33,50200
합정고깃집,서울 마포구 합정동 392-3,20600
멕시코식당,서울 서초구 서초동 1316-28,46650
비스트로사랑방,서울 마포구 서교동 408-25,34600
히츠지야 한국본점,서울 마포구 서교동 395-36,47750
오레노라멘 합정본점,서울 마포구 합정동 361-1,12000
짬뽕지존 홍대점,서울 마포구 서교동 408-27,7000
당인동국수공장,서울 마포구 당인동 25-9,20000
정돈,서울 종로구 명륜4가 107,17800
맛이차이나,서울 마포구 상수동 321-1,정보 없음
신김치생삼겹살,서울 마포구 합정동 414-1,12400
옥동식 서교점,서울 마포구 서교동 385-6,10600
돼지대학교 합정점,서울 마포구 합정동 413-26,9766
마포오리농장,서울 마포구 서교동 394-46,24000
크레이지카츠,서울 마포구 합정동 391-5,24800
피자네버슬립스 합정상수점,서울 마포구 서교동 400-13,29200
하하&김종국의 401정육식당 홍대본점,서울 마포구 서교동 395-17,21200
테이스티버거,서울 마포구 상수동 317-2,9900
바다회사랑 2호점,서울 마포구 서교동 461-25,50600
