"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명"
"3130000","CDFI2260031979000001","19790802","","01","영업/정상","13","영업중","","","","","02-717-9441","","","서울특별시 마포구 도화동 169-1 ","서울특별시 마포구 마포대로 58 (도화동, 가든호텔)","04168","(주)서울가든","2021-02-24 10:32:27","U","2021-02-26 02:40:00.0","","195366.504486477    ","448716.823596557    ","관광숙박업","관광사업","","17","","","372실","","15","2","372","26310","SEOUL GARDEN Corp.","Tourist Hotel","","","","","","","","26310.01","","","","","","","","","","","","","26310","관광호텔업"
"3130000","CDFI2260031999000001","19990726","","03","폐업","03","폐업","20040422","","","","332-1122","","121885","서울특별시 마포구 합정동 381-17번지 ","","","서서울관광호텔","2004-04-23 16:23:24","I","2018-08-31 23:59:59.0","","","","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2260032001000001","20010511","","03","폐업","03","폐업","20201127","","","","3143-4595","","","서울특별시 마포구 서교동 377-1 ","서울특별시 마포구 잔다리로 67 (서교동, 유양관광호텔)","04034","호텔야자","2020-11-27 10:05:47","U","2020-11-29 02:40:00.0","","192584.698023412    ","450151.420026822    ","관광숙박업","관광사업","일반주거지역","6","","","42실,동부화재손해보험","호텔","5","1","42","2017","HOTEL YAJA","TOURIST HOTEL","","","","","","","","1504.56","","","","","","","","","","","","","1505","관광호텔업"
"3130000","CDFI2260032004000001","20040413","","03","폐업","03","폐업","20171130","","","","330-7777","","121838","서울특별시 마포구 서교동 354-5번지 ","서울특별시 마포구 양화로 130 (서교동)","","(주)아주호텔서교","2017-12-01 09:12:27","I","2018-08-31 23:59:59.0","","192971.947727746    ","450243.232547428    ","관광숙박업","관광사업","","","","","","","","","135","","Aju Hotel Seokyo Co., LTD.","TOURIST HOTEL","","","","","","","","","","","","","","","","","","","","","","관광호텔업"
"3130000","CDFI2260032005000001","20050714","","01","영업/정상","13","영업중","","","","","338-0018","","","서울특별시 마포구 합정동 382-17번지 ","서울특별시 마포구 양화로 15 (합정동, 호텔써클)","04027","써클호텔","2018-02-21 10:20:32","I","2018-08-31 23:59:59.0","","192044.052062349    ","449625.190175398    ","관광숙박업","관광사업","일반상업지역","12","","","40실","호텔","9","3","40","2017","CIRCLE HOTEL","TOURIST HOTEL","","","","","","","","1504.56","","","","","","","","","","","","","1505","관광호텔업"
"3130000","CDFI2260032009000001","2009-03-09","","01","영업/정상","13","영업중","","","","","02-6009-1000","","","서울특별시 마포구 공덕동 467 롯데캐슬프레지던트","서울특별시 마포구 마포대로 109 (공덕동, 롯데캐슬프레지던트)","04146","(주)호텔롯데 롯데시티 호텔마포","2023-09-13 17:12:48","U","2022-12-08 23:05:00.0","","195564.375757848","449186.933273231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2260032011000001","20111011","","01","영업/정상","13","영업중","","","","","6016-0001","","","서울특별시 마포구 상암동 1587","서울특별시 마포구 월드컵북로58길 15 (상암동, 스탠포드호텔코리아)","03922","스탠포드호텔코리아(주) 스탠포드호텔서울","2022-06-23 16:54:58","U","2021-12-05 22:05:00.0","","189919.550051873","453342.222208599","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2260032012000001","20120308","","03","폐업","03","폐업","20180226","","","","6220-4000","","121807","서울특별시 마포구 노고산동 57-26번지 ","서울특별시 마포구 서강로 137 (노고산동)","04058","까사빌 신촌 서울","2018-02-26 15:17:05","I","2018-08-31 23:59:59.0","","194237.345664459    ","450263.50766141     ","관광숙박업","","상업지역","20","","","3층~14층영업중,183실","숙박시설","14","","183","12883","CasaVille Shinchon Seoul","TOURIST ACCOMMODATION (FAMILY HOTEL)","","","","","","","","4123.05","","","","","","","","","2000000000","","","","4123","가족호텔업"
"3130000","CDFI2260032012000002","20121018","","03","폐업","03","폐업","20220208","","","","336-0001","","121843","서울특별시 마포구 성산동 52-12 ","서울특별시 마포구 월드컵북로 120 (성산동)","03972","더 엠 호텔","2022-02-08 16:58:56","U","2022-02-10 02:40:00.0","","192282.955607289    ","451304.996932629    ","관광숙박업","","일반주거지역","12","기타","","56실","호텔","10","2","56","3052","THE M HOTEL","Tourists Accommodation(Family Hotel)","","","","","","","","3043.28","","","","","","","","","3000000000","","","","3043","가족호텔업"
"3130000","CDFI2260032013000001","20130205","","03","폐업","03","폐업","20220706","","","","332-5656","","121893","서울특별시 마포구 서교동 371-10","서울특별시 마포구 양화로 112 (서교동)","04038","메리골드호텔","2022-07-06 11:31:14","U","2021-12-06 23:02:00.0","","192839.116937246","450119.061832193","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2260032013000002","2013-02-05","","01","영업/정상","13","영업중","","","","","326-5801","","121-893","서울특별시 마포구 서교동 373-9","서울특별시 마포구 양화로 86 (서교동)","04043","호텔 더 디자이너스 홍대","2023-08-31 17:11:32","U","2022-12-09 00:02:00.0","","192647.075671686","449962.851191072","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2260032014000001","2014-10-30","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 동교동 198-30 홍대LJ빌딩","서울특별시 마포구 동교로 217, 홍대LJ빌딩 2층~4층 (동교동)","03993","필로소퍼","2023-09-01 10:34:00","U","2022-12-09 00:03:00.0","","193173.291498782","450805.577656258","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2260032014000002","20141210","","01","영업/정상","13","영업중","","","","","332-2333","","121210","서울특별시 마포구 서교동 351-29","서울특별시 마포구 동교로 162-7 (서교동)","04031","더휴식 아늑 홍대점","2022-08-22 20:18:35","U","2021-12-07 22:04:00.0","","192893.333078404","450367.063858996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2260032015000001","20150826","","01","영업/정상","13","영업중","","","","","69799000","","","서울특별시 마포구 도화동 570번지 ","서울특별시 마포구 마포대로 83 (도화동)","04156","신라스테이 마포","2018-02-08 18:24:33","I","2018-08-31 23:59:59.0","","195484.919869451    ","448958.582313523    ","관광숙박업","","일반상업지역","28","","","383실","숙박시설","24","4","383","18470","Shiila Stay Mapo","Tourist Hotel","","","","","","","","18470.19","","","","","","","","","989000000000","","","","18470","관광호텔업"
"3130000","CDFI2260032016000001","20160527","","03","폐업","03","폐업","20200929","","","","","","","서울특별시 마포구 망원동 405-27 ","서울특별시 마포구 희우정로16길 31 (망원동)","04008","Alveolus(앨비어러스)","2020-10-05 14:07:43","U","2020-10-07 02:40:00.0","","191415.339342271    ","450275.024623503    ","관광숙박업","","일반주거지역","2","","","1실","기타","1","1","1","62","Alveolus","Hostel","","","","","","","","72.56","","","","","","","","","30000000","","","","73","호스텔업"
"3130000","CDFI2260032016000002","20160607","","01","영업/정상","13","영업중","","","","","02  332 0061","","","서울특별시 마포구 서교동 447-1번지 ","서울특별시 마포구 월드컵북로 31 (서교동)","04001","원앤온니에이엠씨","2018-02-08 18:26:07","I","2018-08-31 23:59:59.0","","192736.935397287    ","450550.232656274    ","관광숙박업","","일반주거지역","19","주택가주변","","150","호텔","14","5","150","18411","One&Only AMC","TOURIST ACCOMMODATION(TOURIST HOTEL)","","","","","","","","18410.72","","","","","","","","","50000000","","","","18411","관광호텔업"
"3130000","CDFI2260032016000003","20160906","","03","폐업","03","폐업","20220209","","","","02  323 9220","","","서울특별시 마포구 서교동 463-1 ","서울특별시 마포구 동교로 142-13 (서교동)","04030","NEO SEOUL","2022-02-11 10:30:27","U","2022-02-13 02:40:00.0","","192701.409567082    ","450267.422495875    ","관광숙박업","","일반주거지역","4","","","18","숙박시설","3","1","18","654","NEO SEOUL","Hostel","0","0","","0","0","","0","654.2","","0","","","","","","","3000000000","","","","654","호스텔업"
