"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명"
"3130000","CDFF3242051992000001","19920928","","01","영업/정상","13","영업중","","","","","02-334-8312","","","서울특별시 마포구 노고산동 54-3번지 2층 ","서울특별시 마포구 신촌로16길 16, 2층 (노고산동)","04057","무지개 노래연습장","2017-08-11 16:57:38","I","2018-10-11 15:46:28.0","","194156.233776072    ","450304.264053327    ","노래연습장업","유통관련업","0","","","216.18","0","0","근린생활시설","","","13","6","","","","Y","","","","","","","","","","","","","",""
"3130000","CDFF3242051992000002","19920928","","03","폐업","03","폐업","20120208","","","","394-3816","","","서울특별시 마포구 용강동 114-24번지 ","","","야후 노래연습장","2013-03-11 16:28:15","I","2018-10-11 15:46:28.0","","","","노래연습장업","유통관련업","","","","192.83","2","","","1","30","6","1","Y","Y","Y","Y","Y","Y","","","","","","","","","","","",""
"3130000","CDFF3242051992000003","19920928","","01","영업/정상","13","영업중","","","","","02-324-8978","","","서울특별시 마포구 서교동 345-6번지 지하1층 ","서울특별시 마포구 어울마당로 116, 지하1층 (서교동)","04055","슈퍼스타 코인 노래연습장","2018-07-16 16:46:17","I","2018-10-11 15:46:28.0","","193155.557097708    ","450299.390543796    ","노래연습장업","유통관련업","","","","132.09","","","근린생활시설","","","8","2","","","","Y","","","","","","","","","","","","","",""
"3130000","CDFF3242051992000004","19920928","","01","영업/정상","13","영업중","","","","","02-326-1186","","","서울특별시 마포구 망원동 475-46 지하층 ","서울특별시 마포구 방울내로 68, 지하층 (망원동)","03964","구찌 노래연습장","2020-08-03 12:49:06","U","2020-08-05 02:40:00.0","","191369.930118144    ","450861.723872256    ","노래연습장업","유통관련업","0","","","104.91","0","0","","","","7","2","","","","Y","","","","","","","","","","","","","",""
"3130000","CDFF3242051992000006","19920928","","03","폐업","03","폐업","20070723","","","","307-6865","","","서울특별시 마포구 노고산동 31-81번지 1층 ","","","공간 노래연습장","2013-03-20 16:11:31","I","2018-10-11 15:46:28.0","","194391.966594208    ","450200.221380773    ","노래연습장업","유통관련업","","","","23.14","","","","","","8","","N","N","N","","N","N","","","","","","","","","","","",""
"3130000","CDFF3242051992000007","19921023","","03","폐업","03","폐업","20080331","","","","324-9161","","","서울특별시 마포구 동교동 162-10번지 2층 ","서울특별시 마포구 홍익로6길 27  (동교동,2층)","","고래고래 노래연습장","2013-03-28 20:27:37","I","2018-10-11 15:46:28.0","","193136.125452511    ","450375.241479971    ","노래연습장업","유통관련업","0","","","129.54","0","0","근린생활시설","","","8","3","","","","Y","","","","","","","","","","","","","",""
"3130000","CDFF3242051992000008","19921023","","03","폐업","03","폐업","19990730","","","","337-3457","","121807","서울특별시 마포구 노고산동 57-59번지 2층 ","서울특별시 마포구 신촌로 88  (노고산동,2층)","","팡팡","2003-04-18 14:56:25","I","2018-10-11 15:46:28.0","","194212.450437765    ","450330.668710125    ","노래연습장업","유통관련업","","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFF3242051992000010","19921023","20060524","04","취소/말소/만료/정지/중지","31","등록취소","","","","","718-0364","","","서울특별시 마포구 도화동 250-1번지 2층 ","서울특별시 마포구 도화길 10  (도화동,2층)","","25시 노래연습장","2013-03-02 15:46:44","I","2018-10-11 15:46:28.0","","195277.544591485    ","448616.306480029    ","노래연습장업","유통관련업","0","","","106.05","0","0","근린생활시설","","","8","1","","","","Y","","","","","","","","","","","","","",""
"3130000","CDFF3242051992000011","19921023","","03","폐업","03","폐업","20020218","","","","365-0570","","121859","서울특별시 마포구 아현동 346-5번지 지층 ","서울특별시 마포구 신촌로 240  (아현동,지층)","","뉴스타노래방","2003-04-18 14:56:25","I","2018-10-11 15:46:28.0","","195728.22322929     ","450517.899048451    ","노래연습장업","유통관련업","0","","","0","0","0","근린생활시설","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFF3242051992000012","19921023","","01","영업/정상","13","영업중","","","","","02-338-1711","","","서울특별시 마포구 합정동 414-20번지 2층 ","서울특별시 마포구 독막로 11, 2층 (합정동)","04046","큐 노래연습장","2020-04-23 14:35:11","U","2020-04-25 02:40:00.0","","192399.621214988    ","449625.56688646     ","노래연습장업","유통관련업","0","","","157.75","0","0","","","","8","","","","","","","","","","","","","","","","","","",""
"3130000","CDFF3242051992000013","19921023","","03","폐업","03","폐업","20020415","","","","375-1917","","121877","서울특별시 마포구 중동 64-4번지 지층 ","","","아파트노래방","2003-04-18 14:56:25","I","2018-10-11 15:46:28.0","","","","노래연습장업","유통관련업","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFF3242051992000014","19921023","","03","폐업","03","폐업","20060703","","","","717-5460","","","서울특별시 마포구 대흥동 12-5번지 지층 ","","","25시 노래연습장","2013-03-20 18:19:11","I","2018-10-11 15:46:28.0","","195120.987543701    ","450461.316287999    ","노래연습장업","유통관련업","0","","","76.93","0","0","","","","6","4","","","","Y","","","","","","","","","","","","","",""
"3130000","CDFF3242051992000015","19921031","","04","취소/말소/만료/정지/중지","35","직권말소","20190612","","","","02-324-8167","","","서울특별시 마포구 서교동 358-124번지 지층 ","서울특별시 마포구 와우산로21길 24, 지하1층 (서교동)","04040","홍노래연습장","2019-06-12 10:49:37","U","2019-06-14 02:40:00.0","","193102.132758961    ","450024.875335514    ","노래연습장업","유통관련업","0","","","160.8","0","0","근린생활시설","","","9","5","","","","Y","","","","","","","","","","","","","",""
"3130000","CDFF3242051992000017","19921031","","01","영업/정상","13","영업중","","","","","02-713-1803","","","서울특별시 마포구 공덕동 256-13번지 3층 ","서울특별시 마포구 만리재로 15, 3층 (공덕동)","04214","삼층 노래연습장","2016-09-22 09:41:05","I","2018-10-11 15:46:28.0","","195748.06444032     ","449145.578789461    ","노래연습장업","유통관련업","0","","","135.3","0","0","근린생활시설","","","5","2","","","","Y","","","","","","","","","","","","","",""
"3130000","CDFF3242051992000019","19921031","","03","폐업","03","폐업","19991202","","","","324-5706","","121817","서울특별시 마포구 동교동 164-31번지 2층 ","서울특별시 마포구 홍익로6길 34  (동교동,2층)","","차차차","2003-04-18 14:56:25","I","2018-10-11 15:46:28.0","","193179.472206943    ","450388.268781119    ","노래연습장업","유통관련업","","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
