"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","욕실수","발한실여부","좌석수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조수","침대수","다중이용업소여부"
"3130000","3130000-201-1966-00029","1966-11-22","","01","영업/정상","01","영업","","","","","02 3226009","0.00","121-807","서울특별시 마포구 노고산동 54-90","서울특별시 마포구 신촌로16길 16 (노고산동)","04057","코코레지던스","2023-10-27 08:27:40","U","2022-10-30 22:09:00.0","여관업","194145.910119791","450308.589069852","","","","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-201-1966-00080","1966-09-13","","01","영업/정상","01","영업","","","","","02 3136584","0.00","121-859","서울특별시 마포구 아현동 346-27","서울특별시 마포구 신촌로30길 3-12 (아현동)","04115","신도여관","2023-10-27 08:28:40","U","2022-10-30 22:09:00.0","여인숙업","195747.454473835","450506.098536664","","","","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-201-1968-00011","1968-09-25","","01","영업/정상","01","영업","","","","","02 7119239","71.40","121-801","서울특별시 마포구 공덕동 105-228 3층","서울특별시 마포구 마포대로14길 21, 3층 (공덕동)","04207","예원장","2024-03-04 14:12:15","U","2023-12-03 00:06:00.0","여관업","196132.264207886","449580.978639028","","","","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-201-1968-00106","1968-12-31","","01","영업/정상","01","영업","","","","","02 7159006","0.00","121-854","서울특별시 마포구 신수동 81-15","서울특별시 마포구 서강로16길 63 (신수동)","04109","일육육삼","2023-10-27 11:18:48","U","2022-10-30 22:09:00.0","여인숙업","194359.499233474","449920.023766153","","","","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-201-1968-00108","1968-08-21","","01","영업/정상","01","영업","","","","","02 7173670","0.00","121-870","서울특별시 마포구 염리동 8-64","서울특별시 마포구 신촌로 190-4 (염리동)","04113","혜성","2023-10-27 11:19:42","U","2022-10-30 22:09:00.0","여인숙업","195258.139337564","450472.26234619","","","","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-201-1969-00041","1969-12-03","","01","영업/정상","01","영업","","","","","02 3342459","136.00","121-838","서울특별시 마포구 서교동 355-7","서울특별시 마포구 홍익로5안길 34 (서교동)","04039","동경모텔","2023-10-27 11:20:30","U","2022-10-30 22:09:00.0","여관업","192947.827885766","450128.040762411","","","","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-201-1970-00022","1970-10-10","","01","영업/정상","01","영업","","","","","02  32753203","129.32","121-812","서울특별시 마포구 도화동 78-2","서울특별시 마포구 마포대로4라길 21 (도화동)","04173","마포레지던스","2023-10-27 11:21:22","U","2022-10-30 22:09:00.0","여관업","195206.306035862","448350.940035676","","","","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-201-1970-00025","1970-06-23","","01","영업/정상","01","영업","","","","","02 7180880","89.88","121-870","서울특별시 마포구 염리동 8-55","서울특별시 마포구 대흥로30길 23 (염리동)","04113","호성여관","2023-10-27 11:26:43","U","2022-10-30 22:09:00.0","여관업","195280.139411113","450464.070599256","","","","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-201-1970-00046","1970-10-20","","01","영업/정상","01","영업","","","","","02 3345330","59.00","121-820","서울특별시 마포구 망원동 378-6","서울특별시 마포구 월드컵로11길 8 (망원동)","04013","남양","2023-10-27 11:28:20","U","2022-10-30 22:09:00.0","여관업","192014.240969391","450300.013816674","","","","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-201-1970-00091","1970-08-13","","01","영업/정상","01","영업","","","","","02 7164100","135.11","121-803","서울특별시 마포구 공덕동 242-45","서울특별시 마포구 마포대로12길 31 (공덕동)","04211","나루호스텔","2023-10-27 19:11:35","U","2022-10-30 22:09:00.0","여인숙업","195942.959432834","449464.869763408","","","","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-201-1971-00014","1971-09-10","","01","영업/정상","01","영업","","","","","02 7120011","69.96","121-803","서울특별시 마포구 공덕동 242-46","서울특별시 마포구 마포대로12길 37 (공덕동)","04211","록수","2023-10-27 19:12:29","U","2022-10-30 22:09:00.0","여관업","195933.125156914","449431.945466531","","","","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-201-1971-00037","1971-08-19","","01","영업/정상","01","영업","","","","","02 3323301","111.93","121-829","서울특별시 마포구 상수동 336-16","서울특별시 마포구 와우산로3길 34 (상수동)","04074","에이레이 모텔","2023-10-27 19:13:23","U","2022-10-30 22:09:00.0","여관업","192954.329037977","449300.786640543","","","","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-201-1971-00053","1971-08-28","","01","영업/정상","01","영업","","","","","02 3329358","118.25","121-846","서울특별시 마포구 성산동 632-6","서울특별시 마포구 월드컵북로9길 7 (성산동)","03999","성산장","2023-10-27 19:14:08","U","2022-10-30 22:09:00.0","여관업","192597.95055552","450723.079731671","","","","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-201-1971-00145","1971-07-26","","01","영업/정상","01","영업","","","","","02 7127192","60.79","121-813","서울특별시 마포구 도화동 202-3","서울특별시 마포구 삼개로 13 (도화동)","04172","가나모텔","2023-10-27 19:15:14","U","2022-10-30 22:09:00.0","여관업","195305.983896055","448543.222514718","","","","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-201-1971-00151","1971-08-28","","01","영업/정상","01","영업","","","","","02 3240017","327.17","121-847","서울특별시 마포구 성산동 252-4","서울특별시 마포구 성미산로 3 (성산동)","03971","성미","2023-10-27 19:16:51","U","2022-10-30 22:09:00.0","여인숙업","191857.555789257","450672.297140455","","","","","","","","","","","","","","","","","","","","","",""
