"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모"
"3130000","CDFI2262212023000101","2023-08-04","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 망원동 479-28","서울특별시 마포구 망원로7길 44, 3층 (망원동)","03964","스테이 포포","2023-08-04 09:50:32","I","2022-12-08 00:06:00.0","","191521.233100877","450799.672310385","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212023000103","2023-08-04","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 서교동 330-32","서울특별시 마포구 와우산로29길 48-21, 301호 (서교동)","04052","스테이온 2","2023-08-04 13:53:15","I","2022-12-08 00:06:00.0","","193523.766775264","450441.778025133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212023000102","2023-08-04","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 서교동 330-32","서울특별시 마포구 와우산로29길 48-21, 302호 (서교동)","04052","스테이온 3","2023-08-04 13:53:37","I","2022-12-08 00:06:00.0","","193523.766775264","450441.778025133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212023000096","2023-07-25","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 망원동 435-1","서울특별시 마포구 방울내로 67, 4층 (망원동)","03961","프라이빗 하우스","2023-08-04 10:01:41","U","2022-12-08 00:06:00.0","","191339.639553211","450879.451466281","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212023000125","2023-09-13","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 서교동 340-12 협화빌라","서울특별시 마포구 와우산로25길 22, 102호 (서교동, 협화빌라)","04054","코지 스테이","2023-09-13 16:27:47","I","2022-12-08 23:05:00.0","","193401.799872945","450224.535485381","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212023000104","2023-08-07","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 성산동 630-17","서울특별시 마포구 동교로23길 89-7, 지층 (성산동)","03986","Calm and cozy house","2023-08-11 11:51:36","U","2022-12-07 23:04:00.0","","192640.80370711","450810.441361968","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212023000124","2023-09-13","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 연남동 504-14","서울특별시 마포구 연남로5길 30-10, 2층 (연남동)","03988","포근하우스","2023-09-13 13:37:56","I","2022-12-08 23:05:00.0","","192870.199871843","451070.597036633","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212023000131","2023-09-19","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 구수동 40-4","서울특별시 마포구 토정로 202, 3층 (구수동)","04092","헤이포레스트","2023-09-19 15:00:13","I","2022-12-08 22:01:00.0","","194033.943648266","449208.398616006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212023000130","2023-09-18","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 동교동 177-19 동진빌라","서울특별시 마포구 와우산로37길 38, 202호 (동교동, 동진빌라)","04056","조이하우스1","2023-09-19 14:57:51","I","2022-12-08 22:01:00.0","","193657.477350781","450491.791708589","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212023000172","2023-11-21","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 동교동 177-14","서울특별시 마포구 와우산로37길 24, 102호 (동교동)","04056","제온","2023-11-21 16:54:04","I","2022-10-31 22:03:00.0","","193712.044928959","450458.395230644","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
