name,address
노고산,서울 마포구 대흥동 산 1-30
이대앞사주카페거리,서울 서대문구 대현동
서울한양도성 숭례문구간,서울 중구 순화동 1-144
연세대학교 백양로,서울 서대문구 신촌동 134
이화52번가,서울 서대문구 대현동 33-9
덕수궁 즉조당,서울 중구 정동 5-1
덕수궁,서울 중구 정동 5-1
신촌피아노거리,서울 서대문구 창천동 30-16
서울도보관광코스 덕수궁~정동,서울 중구 정동
동네골목길관광코스 7코스(교남동),서울 종로구 사직동
경희궁,서울 종로구 신문로2가 2-1
남대문칼국수골목,서울 중구 남창동 60-3
소금길,서울 마포구 염리동 9-245
정동전망대,서울 중구 서소문동 37
서울도보관광코스 경희궁~서대문,서울 종로구 홍파동
신촌이대거리,서울 서대문구 창천동
마포전골목,서울 마포구 공덕동
서울명예도로 프랑스로,서울 서대문구 충정로3가 465
신촌대학탐방나들길,서울 서대문구 대현동
아현동전골목,서울 마포구 아현동
공덕시장족발골목,서울 마포구 공덕동 256-10
덕수궁산책길,서울 종로구 신문로2가
연세로,서울 서대문구 창천동
마포갈매기골목,서울 마포구 도화동 169-3
서울명예도로 순헌황귀비길,서울 용산구 청파동2가 54-1
염천교수제화거리,서울 중구 의주로2가 61-23
삼거리꽃길,서울 서대문구 대현동
도화동상점가,서울 마포구 도화동 179-5
덕수궁돌담길,서울 중구 정동 5-1
공덕소담길,서울 마포구 공덕동
고종의길,서울 중구 정동 10-1
남대문갈치조림골목,서울 중구 남창동 34-155
경희궁 숭정전,서울 종로구 신문로2가 2-1
